,row_id,series_id,measurement_number,orientation_X,orientation_Y,orientation_Z,orientation_W,angular_velocity_X,angular_velocity_Y,angular_velocity_Z,linear_acceleration_X,linear_acceleration_Y,linear_acceleration_Z
0,0_0,0,0,0.0,0.0,0.6368186335279999,0.77101363671,0.0,0.0,-0.0005235987755980001,0.0,0.0,0.0
1,0_1,0,1,0.0,0.0,0.6368186335279999,0.77101363671,0.0,0.0,-0.00226892802759,0.0,0.0,0.0
2,0_2,0,2,0.0,0.0,0.6368186335279999,0.77101363671,0.0,0.0,0.000698131700798,0.0,0.0,0.0
3,0_3,0,3,0.0,0.0,0.6365494602049999,0.77123588137,0.0,0.0,-0.0010471975512,0.0,0.0,0.0
4,0_4,0,4,0.0,0.0,0.636616760808,0.771180329014,0.0,0.0,0.0102974425868,0.0,0.0,0.0
5,0_5,0,5,0.0,0.0,0.6366840565640001,0.7711247707850001,0.0,0.0,0.00523598775598,0.0,0.0,0.0
6,0_6,0,6,0.0,0.0,0.636616760808,0.771180329014,0.0,0.0,-0.0181514242207,0.0,0.0,0.0
7,0_7,0,7,0.0,0.0,0.636347529312,0.771402503197,0.0,0.0,0.005759586531579999,0.0,0.0,0.0
8,0_8,0,8,0.0,0.0,0.6362802093209999,0.771458032058,0.0,0.0,-0.00750491578358,0.0,0.0,0.0
9,0_9,0,9,0.0,0.0,0.635876187638,0.771791081831,0.0,0.0,-0.026529004630299998,0.0,0.0,0.0
10,0_10,0,10,0.0,0.0,0.635471991627,0.772123920014,0.0,0.0,0.00261799387799,0.0,0.0,0.0
11,0_11,0,11,0.0,0.0,0.635674111417,0.771957527377,0.0,0.0,0.00488692190558,0.0,0.0,0.0
12,0_12,0,12,0.0,0.0,0.635337220902,0.7722348190389999,0.0,0.0,-0.0251327412287,0.0,0.0,0.0
13,0_13,0,13,0.0,0.0,0.635337220902,0.7722348190389999,0.0,0.0,0.00872664625997,0.0,0.0,0.0
14,0_14,0,14,0.0,0.0,0.635404608684,0.7721793724670001,0.0,0.0,-0.005759586531579999,0.0,0.0,0.0
15,0_15,0,15,0.0,0.0,0.635202430824,0.77234569454,0.0,0.0,-0.00174532925199,0.0,0.0,0.0
16,0_16,0,16,0.0,0.0,0.635135028529,0.7724011234679999,0.0,0.0,-0.00558505360638,0.0,0.0,0.0
17,0_17,0,17,0.0,0.0,0.635067621397,0.772456546514,0.0,0.0,-0.00977384381117,0.0,0.0,0.0
18,0_18,0,18,0.0,0.0,0.634932792625,0.772567374958,0.0,0.0,-0.0038397243543899996,0.0,0.0,0.0
19,0_19,0,19,0.0,0.0,0.634932792625,0.772567374958,0.0,0.0,0.00558505360638,0.0,0.0,0.0
20,0_20,0,20,0.0,0.0,0.635000209429,0.772511963678,0.0,0.0,0.00174532925199,0.0,0.0,0.0
21,0_21,0,21,0.0,0.0,0.634865370985,0.7726227803550001,0.0,0.0,-0.012391837689200002,0.0,0.0,0.0
22,0_22,0,22,0.0,0.0,0.634865370985,0.7726227803550001,0.0,0.0,-0.00488692190558,0.0,0.0,0.0
23,0_23,0,23,0.0,0.0,0.634797944511,0.772678179868,0.0,0.0,0.0013962634016,0.0,0.0,0.0
24,0_24,0,24,0.0,0.0,0.634797944511,0.772678179868,0.0,0.0,0.000349065850399,0.0,0.0,0.0
25,0_25,0,25,0.0,0.0,0.634730513202,0.772733573497,0.0,0.0,-0.008028514559169999,0.0,0.0,0.0
26,0_26,0,26,0.0,0.0,0.63466307706,0.772788961242,0.0,0.0,0.00226892802759,0.0,0.0,0.0
27,0_27,0,27,0.0,0.0,0.63466307706,0.772788961242,0.0,0.0,-0.00994837673637,0.0,0.0,0.0
28,0_28,0,28,0.0,0.0,0.6345281902759999,0.772899719074,0.0,0.0,-0.0013962634016,0.0,0.0,0.0
29,0_29,0,29,0.0,0.0,0.63466307706,0.772788961242,0.0,0.0,0.00314159265359,0.0,0.0,0.0
30,0_30,0,30,0.0,0.0,0.634460739636,0.772955089162,0.0,0.0,-0.00558505360638,0.0,0.0,0.0
31,0_31,0,31,0.0,0.0,0.634393284164,0.773010453363,0.0,0.0,-0.00593411945678,0.0,0.0,0.0
32,0_32,0,32,0.0,0.0,0.634258358726,0.773121164104,0.0,0.0,-0.0005235987755980001,0.0,0.0,0.0
33,0_33,0,33,0.0,0.0,0.634393284164,0.773010453363,0.0,0.0,-0.0019198621771900001,0.0,0.0,0.0
34,0_34,0,34,0.0,0.0,0.634393284164,0.773010453363,0.0,0.0,0.005410520681180001,0.0,0.0,0.0
35,0_35,0,35,0.0,0.0,0.63432582386,0.773065811677,0.0,0.0,-0.00977384381117,0.0,0.0,0.0
36,0_36,0,36,0.0,0.0,0.634123413968,0.773231851295,0.0,0.0,-0.004363323129989999,0.0,0.0,0.0
37,0_37,0,37,0.0,0.0,0.634190888762,0.7731765106440001,0.0,0.0,0.00157079632679,0.0,0.0,0.0
38,0_38,0,38,0.0,0.0,0.634055934345,0.7732871860580001,0.0,0.0,-0.00610865238198,0.0,0.0,0.0
39,0_39,0,39,0.0,0.0,0.6339884498939999,0.773342514932,0.0,0.0,-0.000174532925199,0.0,0.0,0.0
40,0_40,0,40,0.0,0.0,0.634055934345,0.7732871860580001,0.0,0.0,-0.00296705972839,0.0,0.0,0.0
41,0_41,0,41,0.0,0.0,0.634055934345,0.7732871860580001,0.0,0.0,-0.0038397243543899996,0.0,0.0,0.0
42,0_42,0,42,0.0,0.0,0.633853466507,0.773453155011,0.0,0.0,-0.010821041362399999,0.0,0.0,0.0
43,0_43,0,43,0.0,0.0,0.633785967573,0.773508466216,0.0,0.0,-0.00279252680319,0.0,0.0,0.0
44,0_44,0,44,0.0,0.0,0.633583441813,0.773674364485,0.0,0.0,0.0013962634016,0.0,0.0,0.0
45,0_45,0,45,0.0,0.0,0.633650955225,0.7736190709530001,0.0,0.0,0.006632251157579999,0.0,0.0,0.0
46,0_46,0,46,0.0,0.0,0.633650955225,0.7736190709530001,0.0,0.0,-0.0157079632679,0.0,0.0,0.0
47,0_47,0,47,0.0,0.0,0.633515923575,0.773729652124,0.0,0.0,-0.0111701072128,0.0,0.0,0.0
48,0_48,0,48,0.0,0.0,0.633583441813,0.773674364485,0.0,0.0,0.0020943951023900003,0.0,0.0,0.0
49,0_49,0,49,0.0,0.0,0.633448400513,0.773784933872,0.0,0.0,0.00296705972839,0.0,0.0,0.0
50,0_50,0,50,0.0,0.0,0.633448400513,0.773784933872,0.0,0.0,-0.005410520681180001,0.0,0.0,0.0
